Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Avalon Morningside Park](https://www.apartments.com/avalon-morningside-park-new-york-ny/bqxgbwc/),855-522-3805,"[1 Morningside Dr, New York, NY 10025](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1+Morningside+Dr,+New+York,+NY+10025/data=!4m2!4m1!3e2)",674 Sq Ft,"$3,075 - 6,365",,,"Dogs and Cats Allowed:
cats and dogs Policy: Cats and Dogs accepted. Dogs: breed and weight restrictions apply. 
* $635 Fee
* 2 Pet Limit",,,Surface Lot,"* Fitness Center
* Playground
* Gaming Stations","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Eat-in Kitchen
* Microwave","* Beautiful Hardwood Floors Throughout
* Children's Playroom
* Concierge Service with Package Acceptance
* ENERGY STAR (R)  appliances
* Garage Parking with Valet
* Gourmet Kitchens many with breakfasts bars
* On-site Resident and Bike Storage
* Spacious Bathrooms with Marble Vanities
* State of the Art Fitness Center w/ Cardio Theater
* Terraces in Select Homes
* Walking Distance to Subway Lines 1 and C
* Washer and Dryer in Each Home","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Smoke Free
* Cable Ready
* Storage Units
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Tile Floors
* Views
* Walk-In Closets
* Window Coverings",,"* Package Service
* Laundry Facilities
* Controlled Access
* Concierge
* Recycling
* Public Transportation","* Built in 2009
* 295 Units/18 Stories","* Elevator
* Clubhouse","* Courtyard
* Balcony",,
[Avalon West Chelsea](https://www.apartments.com/avalon-west-chelsea-new-york-ny/jld9m64/),844-310-6548,"[282 11th Ave, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/282+11th+Ave,+New+York,+NY+10001/data=!4m2!4m1!3e2)",655 - 656 Sq Ft,"$3,385 - 8,185",,,"Dogs and Cats Allowed:
We are a pet friendly community. Please call our leasing office for pet policy details. 
* 2 Pet Limit",,,"Covered
Parking Available","* Fitness Center
* Bike Storage","* Stainless Steel Appliances
* Kitchen Facilities
* Oven
* Range",,"* High Speed Internet Access
* Washer/Dryer
* Washer/Dryer Hookup
* Air Conditioning
* Heating
* Smoke Free
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Tile Floors
* Views",2 to 12 months,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Maintenance on site
* On Site Management
* Concierge
* 24 Hour Availability
* Dry Cleaning Service
* Laundry Service
* Pet Washing Station","* Built in 2014
* 305 Units/31 Stories","* Elevator
* Lounge",* Sundeck,,
[3155 Broadway](https://www.apartments.com/3155-broadway-new-york-ny/7vktdbw/),844-484-9207,"[3155 Broadway, New York, NY 10027](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/3155+Broadway,+New+York,+NY+10027/data=!4m2!4m1!3e2)",,"$2,625 - 3,370",,,,,,,,"* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Oven
* Refrigerator","* Chef'S Kitchen, Exposed Brick","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Intercom","* Hardwood Floors
* Tile Floors",12,,"* Built in 1905
* 23 Units/6 Stories",,,,
[Murray Hill East - Luxury Furnished Apartment](https://www.apartments.com/murray-hill-east-luxury-furnished-apartment-new-york-ny/905fqp6/),917-994-0224,"[149 E 39th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/149+E+39th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",700 - 750 Sq Ft,"$3,900 - 10,000",,,No Pets Allowed,,,,* Fitness Center,"* Dishwasher
* Kitchen Facilities
* Microwave
* Refrigerator","* Dishwasher In One Bedroom Apartments
* Exec Suites Have Hardwood Floors
* Free Wifi
* Large Terrace
* Offsite Parking 2 Blocks Away
* Pets May Be Allowed In Some Cases","* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units","* Hardwood Floors
* Views",,"* Laundry Facilities
* Concierge
* 24 Hour Availability","* Built in 1964
* 116 Units/14 Stories","* Business Center
* Corporate Suites",* Balcony,,
[The Alyn](https://www.apartments.com/the-alyn-new-york-ny/757zg3w/),845-459-3491,"[152 E 87th St, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/152+E+87th+St,+New+York,+NY+10128/data=!4m2!4m1!3e2)",883 Sq Ft,"$6,000 - 35,000",,,,,,"Covered
1 space.","* Fitness Center
* Playground","* Dishwasher
* Kitchen Facilities
* Microwave
* Oven
* Refrigerator","* Expansive Open Kitchen Layouts
* Full Complement Of Staff Members
* Italian Glass-Front Cabinetry
* Miele Kitchen Appliances
* Stone Counters
* Two-Story Gym
* Virtual Concierge Service From LIVunLtd
* Wide Board Oak Floors","* Washer/Dryer
* Air Conditioning
* Heating
* Storage Units",* Hardwood Floors,,"* Maintenance on site
* Doorman
* Concierge
* 24 Hour Availability","* Built in 2019
* 56 Units/19 Stories","* Elevator
* Lounge",* Barbecue Area,,
[The Ludlow](https://www.apartments.com/the-ludlow-new-york-ny/d7bqchk/),844-207-9541,"[188 Ludlow St, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/188+Ludlow+St,+New+York,+NY+10002/data=!4m2!4m1!3e2)",550 - 728 Sq Ft,"$3,485 - 5,065",,,"Dogs and Cats Allowed:
Must be Spayed or Neutered 
* Must Be Spayed/Neutered",,,,"* Fitness Center
* Bike Storage
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen Facilities
* Microwave
* Range
* Refrigerator
* Freezer","* Charming studio with 10 x 10 terrace!!
* Corner unit, great views, w/d
* Corner unit, high ceilings, w/d
* High ceilings, patio, walk-in closet
* High ceilings, walk-in closet, VIEWS!!
* terrace
* Walk-in closet and high ceilings","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Tub/Shower
* Intercom
* Sprinkler System","* Hardwood Floors
* Office
* Views
* Walk-In Closets
* Double Pane Windows
* Window Coverings",12-24 Months,"* Package Service
* Laundry Facilities
* Controlled Access
* Maintenance on site
* On Site Management
* Security System
* Doorman
* Concierge
* Video Patrol
* 24 Hour Availability
* On-Site ATM
* Recycling
* Dry Cleaning Service
* Maid Service","* Built in 2007
* 243 Units/23 Stories","* Elevator
* Business Center
* Lounge
* Multi Use Room
* Storage Space
* Disposal Chutes
* Conference Room","* Rooftop Lounge
* Sundeck
* Patio",,
[Gramercy Place](https://www.apartments.com/gramercy-place-new-york-ny/nepxp0n/),844-834-9366,"[280 Park Ave S, New York, NY 10010](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/280+Park+Ave+S,+New+York,+NY+10010/data=!4m2!4m1!3e2)",728 Sq Ft,"$4,625 - 7,495",,,Dogs and Cats Allowed,,,"Street
Two parking garages on 22nd Street.","* Fitness Center
* Sauna
* Spa
* Pool
* Playground","* Dishwasher
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Range
* Refrigerator","* Calacatta Gold Marble Counters
* Central A/C
* Concierge
* Dishwasher
* Doorman
* Elevator
* Gym
* Hardwood Floors
* Laundry In Building
* Microwave
* Newly Renovated
* No Fee
* One Month Free - This Unit Only
* Outdoor Areas
* Package Room
* Pool
* Renovated
* Same Block as the 6,N,Q R
* Verizon Fios
* Viking Stove","* High Speed Internet Access
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Fireplace","* Hardwood Floors
* Dining Room
* Walk-In Closets",,"* Package Service
* Laundry Facilities
* Maintenance on site
* On Site Management
* Doorman
* Concierge","* Built in 1986
* 259 Units/27 Stories","* Elevator
* Storage Space","* Sundeck
* Deck
* Barbecue Area",,
[Tower 31](https://www.apartments.com/tower-31-new-york-ny/gcwecey/),866-568-6618,"[9 W 31st St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/9+W+31st+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)",600 - 670 Sq Ft,"$3,295 - 7,195",,,No Pets Allowed,,,"Garage
Call for additional parking information.",* Fitness Center,"* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Intercom
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Walk-In Closets
* Window Coverings",,"* Package Service
* Laundry Facilities
* Maintenance on site
* On Site Management
* Doorman
* Concierge","* Built in 2004
* 283 Units/42 Stories","* Elevator
* Lounge
* Storage Space",* Sundeck,,
[160 Madison](https://www.apartments.com/160-madison-new-york-ny/8let782/),844-389-0411,"[160 Madison Ave, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/160+Madison+Ave,+New+York,+NY+10016/data=!4m2!4m1!3e2)",,"$4,200",,,Pets Negotiable,,,"Street
Assigned Parking. Free","* Fitness Center
* Bike Storage","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Island Kitchen
* Eat-in Kitchen
* Kitchen Facilities
* Microwave
* Range
* Refrigerator
* Freezer
* Breakfast Nook","* Black out Shades in BR
* Cr 1BR Window bathroom , Stall Shower
* Floor to Ceiling Windows
* Great value
* Large Walk in closet
* pass thru kitchen
* Solar Shades","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Tub/Shower
* Fireplace
* Intercom
* Sprinkler System
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Vaulted Ceiling
* Bay Window
* Views
* Walk-In Closets
* Double Pane Windows",12 -24 Months,"* Package Service
* Community-Wide WiFi
* Laundry Facilities
* On Site Management
* Doorman
* Concierge
* 24 Hour Availability
* Recycling
* Dry Cleaning Service
* Laundry Service
* Maid Service","* Built in 2015
* 319 Units/45 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Disposal Chutes
* Tanning Salon","* Rooftop Lounge
* Sundeck
* Courtyard
* Balcony
* Patio
* Deck
* Yard
* Garden",,
[Hawthorne Gardens](https://www.apartments.com/hawthorne-gardens-new-york-ny/7wrnq4x/),844-330-4683,"[4861-4881 Broadway, New York, NY 10034](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/4861-4881+Broadway,+New+York,+NY+10034/data=!4m2!4m1!3e2)",750 Sq Ft,"$1,775 - 1,879",,,,,,,,"* Dishwasher
* Kitchen Facilities
* Oven
* Refrigerator",,"* Air Conditioning
* Heating",,,* Laundry Facilities,"* Built in 1929
* 159 Units/6 Stories",,,,
[326 E 117th St](https://www.apartments.com/326-e-117th-st-new-york-ny/5s5zlzp/),844-320-7462,"[326 E 117th St, New York, NY 10035](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/326+E+117th+St,+New+York,+NY+10035/data=!4m2!4m1!3e2)",,"$1,950 - 1,975",,,"Dogs and Cats Allowed
* 10 lb Weight Limit",,,,,"* Kitchen Facilities
* Oven
* Range
* Refrigerator",,* Heating,,,,"* Built in 1900
* 29 Units/6 Stories",,,,
[West 74 LLC](https://www.apartments.com/west-74-llc-new-york-ny/lke4f3d/),347-507-4394,"[10 W 74th St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/10+W+74th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)",787 Sq Ft,Call for Rent,,,"Dogs and Cats Allowed:
Having pets on premises is up to the discretion of the owner, and the pet may not exceed 30 pounds at any time. There is pet weigh limit of 35 pounds 
* 35 lb Weight Limit",,,"Surface Lot
Parking Available",,,"* Cable Ready
* Efficient Appliances
* Hardwood Floors
* High Ceilings
* Historic Building
* Large Closets
* Package Receiving
* Recycling",* High Speed Internet Access,,None,"* Laundry Facilities
* Maintenance on site
* Doorman
* 24 Hour Availability","* Built in 1941
* Renovated in Jan 1985
* 78 Units/10 Stories",* Elevator,* Gated Entry,,
[The Octagon](https://www.apartments.com/the-octagon-new-york-ny/9w36sk7/),844-261-6539,"[888 Main St, New York, NY 10044](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/888+Main+St,+New+York,+NY+10044/data=!4m2!4m1!3e2)",607 Sq Ft,"$2,289 - 8,856",,,"Dogs Allowed:
Restricted breed list 
* $40 Monthly Pet Rent
* $350 Fee
* 75 lb Weight Limit
* 2 Pet Limit",,,"Garage: $355
131 spaces.","* Fitness Center
* Pool
* Playground
* Bike Storage
* Tennis Court
* Gaming Stations
* Media Center/Movie Theatre","* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Eat-in Kitchen
* Kitchen Facilities
* Microwave
* Oven
* Range
* Refrigerator","* Central Air
* Club Room
* Daycare
* Doorman
* Dry Cleanning
* Elevator
* Express Bus to Subway and Tram
* Garage
* Gym
* Individual Climate Control
* Large Closets
* Laundry In Building
* Outdoor Areas
* Outdoor Pool
* Screening Room
* Storage
* Two Children's playrooms
* Washer/Dryer Allowed
* Zipcar Available","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Vaulted Ceiling
* Views
* Walk-In Closets
* Window Coverings",,"* Package Service
* Community-Wide WiFi
* Laundry Facilities
* Day Care
* Maintenance on site
* On Site Management
* Doorman
* Concierge
* Video Patrol
* 24 Hour Availability
* On-Site ATM
* Trash Pickup - Door to Door
* Dry Cleaning Service
* Maid Service
* Planned Social Activities","* Built in 2006
* 501 Units/5 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge","* Courtyard
* Deck",,
[The Sagamore](https://www.apartments.com/the-sagamore-new-york-ny/msdrr4l/),844-245-3988,"[189 W 89th St, New York, NY 10024](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/189+W+89th+St,+New+York,+NY+10024/data=!4m2!4m1!3e2)",672 - 673 Sq Ft,"$2,851 - 7,762",,,"Dogs and Cats Allowed:
No aggressive breeds but not weight restriction Pet Rent ranges from $45-$60. 
* $60 Monthly Pet Rent
* $45 - 60 Fee
* 2 Pet Limit",,,"Covered: $650
80 spaces. Third Party managed by Central Parking Systems.","* Fitness Center
* Bike Storage
* Gaming Stations
* Media Center/Movie Theatre","* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Range
* Refrigerator","* Bark Park
* Caesarstone Countertops
* Children's Play Room
* Floor to Ceiling Windows
* High Ceilings
* Individual Climate Control
* Large Closets
* Marble Bathrooms
* New Renovations
* Quartz Counter Tops
* Window Coverings","* High Speed Internet Access
* Air Conditioning
* Ceiling Fans
* Storage Units
* Wheelchair Accessible (Rooms)","* Dining Room
* Sunroom
* Bay Window
* Views
* Walk-In Closets",,"* Package Service
* Community-Wide WiFi
* Laundry Facilities
* Day Care
* Maintenance on site
* On Site Management
* Doorman
* Concierge
* 24 Hour Availability
* On-Site ATM
* On-Site Retail
* Recycling
* Maid Service
* Pet Care","* Built in 1997
* 264 Units/18 Stories","* Elevator
* Business Center
* Clubhouse
* Lounge
* Multi Use Room
* Storage Space
* Conference Room","* Rooftop Lounge
* Sundeck
* Courtyard
* Grill
* Balcony
* Barbecue Area",,
[Symphony House](https://www.apartments.com/symphony-house-new-york-ny/8wyby41/),844-893-6597,"[235 W 56th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/235+W+56th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",690 Sq Ft,"$3,900 - 6,850",,,"Cats Allowed
* 2 Pet Limit",,,"Covered
Parking Available","* Fitness Center
* Spa
* Pool","* Dishwasher
* Granite Countertops
* Kitchen Facilities
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* 1 YEAR UNFURNISHED LEASES ONLY. NO DOGS
* Best Location w/Condominium Finishes
* Children's Play Room
* Laundry Room on Every Floors","* High Speed Internet Access
* Wi-Fi
* Air Conditioning
* Heating
* Cable Ready","* Hardwood Floors
* Views
* Walk-In Closets
* Linen Closet
* Double Pane Windows",12 Months,"* Laundry Facilities
* Maintenance on site
* On Site Management
* Doorman
* Concierge
* 24 Hour Availability","* Built in 1987
* 480 Units/43 Stories","* Elevator
* Lounge
* Multi Use Room","* Rooftop Lounge
* Balcony
* Deck",,
[Gracie Mews](https://www.apartments.com/gracie-mews-new-york-ny/76smzpx/),844-739-4126,"[401 E 80th St, New York, NY 10075](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/401+E+80th+St,+New+York,+NY+10075/data=!4m2!4m1!3e2)",650 Sq Ft,"$3,350 - 4,900",,,No Pets Allowed,,,Garage,"* Fitness Center
* Pool
* Bike Storage","* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Oven
* Range
* Refrigerator
* Freezer","* BRAND NEW WINDOWS
* Doorman
* Elevator
* Garage Access Through Lobby
* Gym
* Health Club
* Heat/Hot Water Included
* Laundry In Building
* Luxury
* Market Rate
* No Fee
* On Site Management
* OPEN KITCHEN WITH BREAKFAST BAR
* Outdoor Areas
* Parking Garage
* Pool
* Private Driveway
* Private Outdoor Space
* RCN
* Subway Access
* Swimming Pool
* Time Warner
* Upper East Side
* Verizon FiOS
* Windowed Laundry Facility","* Air Conditioning
* Heating
* Entry Alarm System
* Tub/Shower","* Views
* Walk-In Closets
* Linen Closet",12-24 months,"* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Maintenance on site
* On Site Management
* Security System
* Doorman
* Concierge
* 24 Hour Availability
* On-Site Retail
* Online Services","* Built in 1980
* 310 Units/35 Stories","* Elevator
* Lounge","* Rooftop Lounge
* Sundeck
* Balcony",,
[The Oxford Houses](https://www.apartments.com/the-oxford-houses-new-york-ny/qe490wz/),844-530-3862,"[430-434 E 72nd St, New York, NY 10021](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/430-434+E+72nd+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)",,"$1,885 - 1,995",,,No Pets Allowed,,,,,"* Dishwasher
* Kitchen Facilities
* Microwave
* Oven
* Range
* Refrigerator",,"* High Speed Internet Access
* Air Conditioning
* Heating
* Intercom",* Hardwood Floors,12-24 months,"* On Site Management
* On-Site Retail","* Built in 1910
* 72 Units/6 Stories",,,,
[501 1/2 E 83rd St](https://www.apartments.com/501-1-2-e-83rd-st-new-york-ny/3chlh0g/),844-281-0536,"[501 1/2 E 83rd St, New York, NY 10028](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/501+1/2+E+83rd+St,+New+York,+NY+10028/data=!4m2!4m1!3e2)",642 Sq Ft,Call for Rent,,,,,,,,,,,,,,"* Built in 1910
* 13 Units/5 Stories",,,,
[518 W 204th St Unit 1](https://www.apartments.com/518-w-204th-st-new-york-ny-unit-1/ltnj7td/),209-284-5278,"[518 W 204th St, New York, NY 10034](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/518+W+204th+St,+New+York,+NY+10034/data=!4m2!4m1!3e2)",,"$2,250",,,Dogs and Cats Allowed,,,,,* Kitchen Facilities,,* Washer/Dryer,* Hardwood Floors,12 Months,* Laundry Facilities,,,* Gated Entry,![Primary Photo - 518 W 204th St](https://images1.apartments.com/i2/pA7OU9D2pbCA2cIJcBHGdAgnvH46dcAdLaSBY5WWybE/111/518-w-204th-st-unit-1-new-york-ny-primary-photo.jpg) ![Building Photo - 518 W 204th St](https://images1.apartments.com/i2/zFKE170jGxiQhrHarTzmarjn_YSMZjP81R_aO_CbjRc/117/518-w-204th-st-unit-1-new-york-ny-building-photo.jpg) ![Building Photo - 518 W 204th St](https://images1.apartments.com/i2/V4CrI2tvdsBXxWBAqoO8oAx8ZgDx4Lrz53gkoK4EM0U/117/518-w-204th-st-unit-1-new-york-ny-building-photo.jpg) ![Building Photo - 518 W 204th St](https://images1.apartments.com/i2/tGNSZZJHrhW3hBAhmcFF5RNfi0quDfxNzVpGP67iPFM/117/518-w-204th-st-unit-1-new-york-ny-building-photo.jpg) ![Building Photo - 518 W 204th St](https://images1.apartments.com/i2/vpNSAKPgiF95T-nPtcVZEOUzNWIJkhsQFyo1R3ggleM/117/518-w-204th-st-unit-1-new-york-ny-building-photo.jpg) ![Building Photo - 518 W 204th St](https://images1.apartments.com/i2/FIU276fmqV7wJRuYYfohj1etTotDS5wNkh2V3-kOjVA/117/518-w-204th-st-unit-1-new-york-ny-building-photo.jpg) ![Building Photo - 518 W 204th St](https://images1.apartments.com/i2/a_MS8zlb_AJWO_GZIkJQwRk-qPkCxBF3-RIAmxh-O90/117/518-w-204th-st-unit-1-new-york-ny-building-photo.jpg) ![Building Photo - 518 W 204th St](https://images1.apartments.com/i2/DWj9o0OAoJGYCKtRNeQmEC__KB1VyClOra85dFlCWOY/117/518-w-204th-st-unit-1-new-york-ny-building-photo.jpg) ![Building Photo - 518 W 204th St](https://images1.apartments.com/i2/SYUj9DtPhDrtwJc2HszBQvSzWrNtIUuifR596UVlbRo/117/518-w-204th-st-unit-1-new-york-ny-building-photo.jpg) ,
[9 E 94th St](https://www.apartments.com/9-e-94th-st-new-york-ny/7nq8kyx/),347-407-8812,"[9 E 94th St, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/9+E+94th+St,+New+York,+NY+10128/data=!4m2!4m1!3e2)",,"$57,000",,,,,,,,,,,,,,,,,![Primary Photo - 9 E 94th St](https://images1.apartments.com/i2/hk56B52EIn15kJo94dY_DEPZd1wL1NcYoDpKVzYx16I/111/9-e-94th-st-new-york-ny-primary-photo.jpg) ![Building Photo - 9 E 94th St](https://images1.apartments.com/i2/XOltF4-21TqtvxPmYCD9udwcBJvw7co6ioDHiMWbgwA/117/9-e-94th-st-new-york-ny-building-photo.jpg) ![Building Photo - 9 E 94th St](https://images1.apartments.com/i2/d8g_AbXnYRGBuvZVxR8KHizIbl7QWLGzapVJF2nhG3Y/117/9-e-94th-st-new-york-ny-building-photo.jpg) ![Building Photo - 9 E 94th St](https://images1.apartments.com/i2/t67R4VVRLWYrYZ-c5kxUZ77L4NKTfdP0QVxwPlfSUwQ/117/9-e-94th-st-new-york-ny-building-photo.jpg) ![Building Photo - 9 E 94th St](https://images1.apartments.com/i2/QYQDpHharyPaS-pBZBGnJ3JrUtd8qLiH7dwTWMd3Nr0/117/9-e-94th-st-new-york-ny-building-photo.jpg) ![Building Photo - 9 E 94th St](https://images1.apartments.com/i2/MHVDxInYwxau4Nmgt8eFZ-AgoxE5yYP6zfVhsnpknGM/117/9-e-94th-st-new-york-ny-building-photo.jpg) ![Building Photo - 9 E 94th St](https://images1.apartments.com/i2/_sZ4SLwGXHvQfu-p2sN-9H4XT9wqsQ-ojtn2bwHlfNw/117/9-e-94th-st-new-york-ny-building-photo.jpg) ,
[630 Lenox Ave Unit 14J](https://www.apartments.com/630-lenox-ave-new-york-ny-unit-14j/4hbvnrh/),,"[630 Lenox Ave, New York, NY 10037](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/630+Lenox+Ave,+New+York,+NY+10037/data=!4m2!4m1!3e2)",850 Sq Ft,"$2,300",,,Dogs and Cats Allowed,,,Surface Lot,,,,,,12 Months,* Laundry Facilities,,* Elevator,* Gated Entry,![Primary Photo - 630 Lenox Ave](https://images1.apartments.com/i2/4f6ivWAyUBGUbXeU6JW8DYI0LywnJ09k_MgNvquZwJI/111/630-lenox-ave-unit-14j-new-york-ny-primary-photo.jpg) ![Building Photo - 630 Lenox Ave](https://images1.apartments.com/i2/RRn70BdeGjGgU5bXRDh_C_z96iFBOxWqB74jpQK6ab0/117/630-lenox-ave-unit-14j-new-york-ny-building-photo.jpg) ![Building Photo - 630 Lenox Ave](https://images1.apartments.com/i2/8hoUcXJGrVbjE6P2Lw4i10w9V0YChhZKlgujzl_QNpA/117/630-lenox-ave-unit-14j-new-york-ny-building-photo.jpg) ,
[165 Henry St Unit 506](https://www.apartments.com/165-henry-st-new-york-ny-unit-506/5kxxcpm/),914-214-9327,"[165 Henry St, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/165+Henry+St,+New+York,+NY+10002/data=!4m2!4m1!3e2)",700 Sq Ft,"$2,500",,,,,,,,,,,,,,,,,![Primary Photo - 165 Henry St](https://images1.apartments.com/i2/5xB3s-tvO0SCkNT1zg8mlmpUVaHqIp7EZbsDeFT5X40/111/165-henry-st-unit-506-new-york-ny-primary-photo.jpg) ![Building Photo - 165 Henry St](https://images1.apartments.com/i2/ccuG7Pfwp8un7JS6194SaoO01HpUExHjigvjdixGCxk/117/165-henry-st-unit-506-new-york-ny-building-photo.jpg) ![Building Photo - 165 Henry St](https://images1.apartments.com/i2/D9FSAOGJGjyNoGM7xJaghy8SPfOTMTh7HBXMG0uulmY/117/165-henry-st-unit-506-new-york-ny-building-photo.jpg) ![Building Photo - 165 Henry St](https://images1.apartments.com/i2/c6I81Y4K5Uv1F-7nAJJ6sadBXuLebHhzZoLDzUd6Ib0/117/165-henry-st-unit-506-new-york-ny-building-photo.jpg) ![Building Photo - 165 Henry St](https://images1.apartments.com/i2/NU4YeUxNgIqKE5mSHOmsDXplkW8U8VeTYPsj-EHRg4E/117/165-henry-st-unit-506-new-york-ny-building-photo.jpg) ![Building Photo - 165 Henry St](https://images1.apartments.com/i2/a0Yo-UsrRUs4uGXY_r4OFFcL4Y2c-dATXMbhnlbm6NU/117/165-henry-st-unit-506-new-york-ny-building-photo.jpg) ![Building Photo - 165 Henry St](https://images1.apartments.com/i2/uj8jkIf2YG1qeJdOniJNxfD7uq5RRxrn9mK1kdVLOqc/117/165-henry-st-unit-506-new-york-ny-building-photo.jpg) ![Building Photo - 165 Henry St](https://images1.apartments.com/i2/AOUzFt8saX0tEmjuU7_QXnB35o8P4URl62vBxt4JKbA/117/165-henry-st-unit-506-new-york-ny-building-photo.jpg) ,
