Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
495 W 37th St Unit 3E,929-359-7230,"495 W 37th St, New York, NY 10018",,"$4,600",,,Dogs and Cats Allowed,,,Covered: $450,,"* Stainless Steel Appliances
* Kitchen",,* Washer/Dryer,,12 Months,* Dry Cleaning Service,,,* Balcony,"['https://images1.apartments.com/i2/x7nuu1HWq_IXtFmLzQoR5HWiuEIBMYb0FKGOsG3BPv4/111/495-w-37th-st-unit-3e-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/M23VCz5wJTqngAlK89D6MHcXo90AqGl1b7q6h-Fe4fQ/117/495-w-37th-st-unit-3e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/8zS3VSS6UwG4uPj5p_E99j7h7wE81Wjr2vD4YyLoSJo/117/495-w-37th-st-unit-3e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/xxw8mEsf_auKuiMGXtFenEV7LzYT0UabRA5scuX5cpY/117/495-w-37th-st-unit-3e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/J5qEWGOwGPXsNn90EomIH6K9w28NkxPCSLux0MSsj2M/117/495-w-37th-st-unit-3e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Bvcr3MXMmkAxypIolHu0z-43jsd_ZqX-bcpD-rLJeUk/117/495-w-37th-st-unit-3e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/gSMa7JjMouQ5anpB-UxmUjo13PgLnlwYN-UTc374dV0/117/495-w-37th-st-unit-3e-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/VRkyjzhmypAhCvLB3-1hkUkF-YOd4TofCSxvYAuBqlI/117/495-w-37th-st-unit-3e-new-york-ny-building-photo.jpg']",
567 7th Ave Unit 29D,929-359-7261,"567 7th Ave, New York, NY 10018",,"$5,050",,,Dogs and Cats Allowed,,,Covered: $450,,"* Stainless Steel Appliances
* Kitchen",,* Washer/Dryer,,12 Months,* Dry Cleaning Service,,,* Balcony,"['https://images1.apartments.com/i2/BeRs_xbB90P5g9FuX67iURNBqGDgwo1a9guchYXexWg/111/567-7th-ave-unit-29d-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/TEjcu8wI_wv_mm_jAzlTTYjco-mpF3l-2lA9W-wvKmM/117/567-7th-ave-unit-29d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/QHoxnDfM2smv7ilS088vfiCuMB7-mszc0QrexT_xhs8/117/567-7th-ave-unit-29d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/3hghTLv6Ly7yr_WLta-FwAaTKVCkWGdIQfbQBh_SQVo/117/567-7th-ave-unit-29d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/F1VPtUfvzUfyt2mtZW1mq0sjlrE3OdBpGXAFC09I-3o/117/567-7th-ave-unit-29d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/44W46wRjJS8u8dGFrTUDihFSEqgOMt4n19-XF0d9DzA/117/567-7th-ave-unit-29d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/XWLHBvaH1VqYOAJBYMKgoQrGphKjA3q0xBMEEgpRDuk/117/567-7th-ave-unit-29d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/3HHqAdDBvQVFd4m3L7hbE3kqsWls3pVaRqfng885ai8/117/567-7th-ave-unit-29d-new-york-ny-building-photo.jpg']",
557 10th Ave Unit 27A,929-359-7183,"557 10th Ave, New York, NY 10036",700 Sq Ft,"$3,200",,,Dogs and Cats Allowed,,,Covered: $450,,,,* Washer/Dryer,,12 Months,,,,,"['https://images1.apartments.com/i2/qaHvB9_TDAuc-vyA0LT-AXmh53FYXECvlBVg1hYtLkc/111/557-10th-ave-unit-27a-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/cQbfEutDW114AF_Ewo28jyspE9HQ3EB6-YPQ1Tcjkn0/117/557-10th-ave-unit-27a-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/9FVXrPHB8kFRl-BOpuhY1x2wTq1GgIs6CbNM95xs-ec/117/557-10th-ave-unit-27a-new-york-ny-building-photo.jpg']",
328 W 47th St Unit 1C,,"328 W 47th St, New York, NY 10036",,"$3,195",,,Dogs and Cats Allowed,,,,* Pool,"* Dishwasher
* Kitchen
* Microwave",,* Fireplace,,12 Months,* Gated Entry,,,,"['https://images1.apartments.com/i2/86IWR6Ju_ibvE70J1l0oAhpU0b540bGAxBVzrcJN8E4/111/328-w-47th-st-unit-1c-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/Kpaul74y2SIvRFPBVeeNX80RokKLD5H9_GZMNVoqfNQ/117/328-w-47th-st-unit-1c-new-york-ny-building-photo.jpg']",
169 W 228th St Unit 3B,,"169 W 228th St, New York, NY 10463",,"$2,050",,,Dogs and Cats Allowed,,,,,"* Dishwasher
* Stainless Steel Appliances",,,,12 Months,* Laundry Facilities,,,,"['https://images1.apartments.com/i2/tlapYm436BFqlGoEOs8c1f2wV3XtuLL8MICuTZsPLEM/111/169-w-228th-st-unit-3b-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/3ak2ZZ0zDokQ-r4x5mutQY3sjMxPt_Tl5SBcC0hFlHM/117/169-w-228th-st-unit-3b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/YUuKl8HbIVc3wPIGRcBa3IT48x5B7u1kjks2fGXhFSE/117/169-w-228th-st-unit-3b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/BHevHVfp7yuGYSjDZPsXiFzBcoPTO4riEBcDBrwkfGg/117/169-w-228th-st-unit-3b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/JZQnXWXhfffpCN5fM95mFr2HpjNaElzmTgMUJRDCYy8/117/169-w-228th-st-unit-3b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/5paIApb8O6nTzk7U-WGQ-7nm7kQMxt8gqRCixCSW9Xk/117/169-w-228th-st-unit-3b-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/-Px4vEtdBGn8oYeZTqnEvrSNJrOO5E57i_MqQqeuXfM/117/169-w-228th-st-unit-3b-new-york-ny-building-photo.jpg']",
85-50 Forest Pkwy Unit D,929-484-4512,"85-50 Forest Pkwy, New York, NY 11421",630 Sq Ft,"$1,725",,,Dogs and Cats Allowed,,,,,,,,* Hardwood Floors,12 Months,* Laundry Facilities,,* Elevator,,"['https://images1.apartments.com/i2/Ai8GAFGoogm75NjkriVRK_r45O_gQKtFrSGgnONBaJ8/111/85-50-forest-pkwy-unit-d-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/8j_XxGzK5lO4OoT-O8cOOIVruroEJG4V5lfE98nEF0g/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/csqNw8jn0CooqKJj69SHxhCH7rtT8Ex1PlI_BzC3Kyc/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/fW_z2fgUHyhSXXetYTGzAnnJQD9t6nocLCAm1-A9yGY/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/fCmNYC-bcYSNGDlfSgvKitxnXkZ7Vmg-4Gd3G8I5tFw/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Pz7DYXbJ9sH-fDRdYKw3fHYq47dmaIOo2Z2544nBU34/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/gOm5_kUEL7qPjgKpiSdbLaxIeewhEu0vBPC8LGINhKc/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/hHhWNMSwjqjKpr6eh-Ajb1-926CYtBD_VVijaxk98r4/117/85-50-forest-pkwy-unit-d-new-york-ny-building-photo.jpg']",
684 Riverside Dr Unit 1,929-473-0315,"684 Riverside Dr, New York, NY 10031",,"$3,995",,,Dogs and Cats Allowed,,,,,"* Dishwasher
* Stainless Steel Appliances
* Microwave",,,,12 Month,,,,,"['https://images1.apartments.com/i2/T4xkhm7AG0fDrR0VM-qOEKWm3H7RyFsq76tKXy1DgAA/111/684-riverside-dr-unit-1-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/zvkdjQu2KTuSiYoQuOSZfY_zuMVomo8aJ3OR_mwsLC4/117/684-riverside-dr-unit-1-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/9JC4jGw2hbVQCDBIaPMK-XSdqr73diPLR2lAnwhU3Ds/117/684-riverside-dr-unit-1-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/0_0s0qaf995C6BEIHCg6o_Piq3GTCDxBNH2vYr8y92o/117/684-riverside-dr-unit-1-new-york-ny-building-photo.jpg']",
155 E 108th St Unit 4,347-378-6968,"155 E 108th St, New York, NY 10029",500 Sq Ft,"$1,695",,,,,,,,* Instant Hot Water,,,* Hardwood Floors,12 Months,,,,,"['https://images1.apartments.com/i2/5Ku2EgXjO8DxPyXcT7uRrrX-yE5DVvAdYMo3QZzIVJE/111/155-e-108th-st-unit-4-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/eGikLdN6FgYGdl8fdZOxJwW7aP7nmgXIKqj1e0aF9RM/117/155-e-108th-st-unit-4-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/UNOO2DF32afN40TEGM9zqYgr0t50eWfrtN732ssPJik/117/155-e-108th-st-unit-4-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/oUUw-KWvRKame_J5dlaubUVGrUKZuFNB0JwBydA48VU/117/155-e-108th-st-unit-4-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/DOFG4AJlPRz3Vzwu-0dDPrqvqTwBerd7_5aW6j3dD-A/117/155-e-108th-st-unit-4-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/tttNvngld49dRskkjQ71UTo1iNk9bd8pGYxwue2g490/117/155-e-108th-st-unit-4-new-york-ny-building-photo.jpg']",
444 E 118th St Unit 3,929-367-5439,"444 E 118th St, New York, NY 10035",900 Sq Ft,"$2,000",,,Cats Allowed,,,,,,,,,12 Months,,,,,"['https://images1.apartments.com/i2/5lmKVlP5b_PuLn75ZZqOkGoHJoiE2zXqgk0e70S9Qn0/111/444-e-118th-st-unit-3-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/5i6vqWfMNfnD0Mh3lCIlE__bFymj607VIFhF-Ut1T-M/117/444-e-118th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/eyEeLjDIjNw3PpTMGdQkQs7FrkyD00hSp1aDuyBH1bU/117/444-e-118th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/-ePNHlRlnLAKrnX2MbC9AlvH6UacuXnsZK1GCApqnFM/117/444-e-118th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/6t5PrN71dMLOLUwvY7iitvrqMaPhHmaRn5rjjCtFAoU/117/444-e-118th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/IXtiizTqnG6yE3PLc-jcxYwW4G2O6A33jstguXHS6ks/117/444-e-118th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/BWPOlAK9J65oU_KIfUMeEK2gbrxkKCEadHTFHbUoj54/117/444-e-118th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/S415L7ha4d1loGgN5x0xf1f1HGEv36wDv60VeS0cbZs/117/444-e-118th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/8pHBGDhcy5iKiTKd3MDfpE9f6CcbBG7v-rotv-mnF5I/117/444-e-118th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/oHRLNqsFNJeHOC4-QgrkmUXmOwVTTPgVbYmHyuH3HGA/117/444-e-118th-st-unit-3-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Ms4ytP-e5Cot6cTF6c0bJh5Gkjkz56ysOnSC0UZRfo0/117/444-e-118th-st-unit-3-new-york-ny-building-photo.jpg']",
2371 1st Avenue Unit 15,929-900-5838,"2371 1st Avenue, New York, NY 10035",,"$1,850",,,Dogs and Cats Allowed,,,,,"* Stainless Steel Appliances
* Kitchen",,* Washer/Dryer,,12 Months,,,,,"['https://images1.apartments.com/i2/OxRuha4Q4_gHvQDHljumqTOHHTDgmKKOc8SY1mGJ-A0/111/2371-1st-avenue-unit-15-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/YoHL94AdcifFXRYAwbPu45WZU8_06ike33YOg6xKDEw/117/2371-1st-avenue-unit-15-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/9RtppnTX8rJHlUVDv_GP6CU2A6P4OW32QzSFyqWEKf0/117/2371-1st-avenue-unit-15-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/U_zRDo0T2fn282udy0QBLbhU7obU19w_J0kEOsWtHqk/117/2371-1st-avenue-unit-15-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/xnfqtLPSNP9_mus9CR4wTwl4SA06PKCMWyO2zXoN4vQ/117/2371-1st-avenue-unit-15-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/xgN49KYa65HBBi9O0Kgcp4BeSTqljMkv-takoQeCly4/117/2371-1st-avenue-unit-15-new-york-ny-building-photo.jpg']",
454 E 119th St Unit 2R,212-847-4862,"454 E 119th St, New York, NY 10035",,"$2,200",,,Cats Allowed,,,,,"* Kitchen
* Instant Hot Water",,* Intercom,,12 Months,,,,,"['https://images1.apartments.com/i2/GvRr8cgwVYfdvWL8XdXMWPDYk2GcQgB2RA7bNI2uHaY/111/454-e-119th-st-unit-2r-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/GCIKTKTtMkoLE3O0nmwMkuFRnF1tQ5nfC0cXZBLJ9q8/117/454-e-119th-st-unit-2r-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/hyIQoW1zYgYO5YGLvePwqhr05ivmgSbT6RtVnZ1HmLQ/117/454-e-119th-st-unit-2r-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/lZx9JdGdOvJVp4EJj9o3lio1bPwTAbUDX8LGtYVCSzY/117/454-e-119th-st-unit-2r-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/DSy7ybv-qpQFBgnQKwPgGjf4PcYPCRfSWQS9RajeDag/117/454-e-119th-st-unit-2r-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/HPO6ToSMd6CxDauf5aeHO-d7xmAc7CxyYxtvTM0zy1M/117/454-e-119th-st-unit-2r-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/zciRahd2WvV4ui9S_CrWEwtYlatsKESDvHa8c1On0NE/117/454-e-119th-st-unit-2r-new-york-ny-building-photo.jpg']",
324 E 120th St,347-507-4135,"324 E 120th St, New York, NY 10035",800 Sq Ft,"$1,900",,,Dogs and Cats Allowed,,,,,* Instant Hot Water,,,,12 Months,,,,,"['https://images1.apartments.com/i2/i7TR_N5iHfO2JbRmPCDPfMbID3dKQ7kVu1GHM4wnJ40/111/324-e-120th-st-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/tikVXMixjd2umIy3uaXycMSLntOg-Evsz0KiGONbDj8/117/324-e-120th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/QvhIScwOm8A9UCPbCq7XmYM_cae3Y_IxDEbQMLvK7Eo/117/324-e-120th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/jDuUfxHgn0YXRqQWV7wauDMRdAhp4LMp9hg654okqw8/117/324-e-120th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Fj3jNIGPe85WtMyCLZVdQ3PAtR55pu80BIzjxoAjiAw/117/324-e-120th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Y15pUBE76eRO7963YnuljTV4At-3d3tu9can-n4U7Cg/117/324-e-120th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/_YsAamU1vLUPnnWw3P3YIzrgU4a-5qjsdVWYATVU2-Y/117/324-e-120th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/PDRbHwQ32rxxi58_v7J76OUuZlc1WJJHU4ehTHmMQLk/117/324-e-120th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/vOwsIftDhIDzFBQ4uuN7HZ8A3DwrAfp1eSVEOMyO7-0/117/324-e-120th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/chX0dhbQV3n-lcvJAgzYPYHbaSiApGdR7Sjd3nwuS0I/117/324-e-120th-st-new-york-ny-building-photo.jpg']",
442 W 188th St Unit 10,929-432-6380,"442 W 188th St, New York, NY 10040",,"$1,749",,,,,,,,,,,,,,,,,['https://images1.apartments.com/i2/7wCZ2v2zg7VDMnEGN3ZINnpB3t4PCD4e3uikgFnXEk4/111/442-w-188th-st-unit-10-new-york-ny-primary-photo.jpg'],
160 E 82nd St,929-299-6881,"160 E 82nd St, New York, NY 10028",,"$14,500",,,Dogs and Cats Allowed,,,,,,,* Washer/Dryer Hookup,,12 Months,,,,,"['https://images1.apartments.com/i2/L24tS-JCLOYfdTTAH5MvLQ6aA2ROZqVzQ2ewX4SLv7Y/111/160-e-82nd-st-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/HEw9dXji6o0BqFncHk96MhvXezP3JY5_ZlY0at2vnH0/117/160-e-82nd-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/BAGBwzpUw2rTK6NlNbV_rr_BN7wWJ2FlreLM-LKrx0Q/117/160-e-82nd-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/y9a-cZgWU58U93y6MXZhOTqrHDo8ndkO07f5k_Z53U0/117/160-e-82nd-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/2NdCBNYiFIuzGDBZSVXrZ2O57ke_sgxmc57w7EK_p2A/117/160-e-82nd-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Dx5wSuURHWnrJEupmTi8uN9Xgc7xeBBGUR763Qj4OGs/117/160-e-82nd-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/IbwcF-55l-84s1G70V0NlWe1CbEmqLIh7hkmPzNKoV8/117/160-e-82nd-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/pt9r_HBlS-YbRGbY4neZbBlZ-TZG-qHtUYM0ZPhoq2M/117/160-e-82nd-st-new-york-ny-building-photo.jpg']",
101 Barclay St Unit 12D,929-515-8645,"101 Barclay St, New York, NY 10007",,"$10,950",,,Dogs and Cats Allowed,,,Garage,,,,* Washer/Dryer,,12 Months,,,,,"['https://images1.apartments.com/i2/H9_Uf6QY4SkZpBLqOYGgrPlnA_tbq2YhhuJ0COpX29I/111/101-barclay-st-unit-12d-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/ViXdWMzYnqB9l0zjvUk5Y4nHRJnl0A1mhsmAV15uhM8/117/101-barclay-st-unit-12d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/1jozUkzqKaMH-BTE2HmH5b-y8tcbUz9OWWU8MdBCkLA/117/101-barclay-st-unit-12d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Sax4GwCZ5SnguZnkVS7hd0n2Rn8sVCZ0ATp0Jkqse-Y/117/101-barclay-st-unit-12d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Hp6bd1IeaWbmKnAB7a_AtVb4hz5YbgDLTUWr4i2o4VI/117/101-barclay-st-unit-12d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/q4giKWomXk26LKu8Mx7rnoWPBh-N36xHi2m5SH1k0Ek/117/101-barclay-st-unit-12d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/ebw9YETOBfF9XmbGQ8tZMj0xFiIVdZJv_R1gR-aZKYk/117/101-barclay-st-unit-12d-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/V-a8ohKC1Tf520oKt8pIl7VsYaqa-XDilON41U4gc1c/117/101-barclay-st-unit-12d-new-york-ny-building-photo.jpg']",
101 W 16th St Unit 326,929-399-8329,"101 W 16th St, New York, NY 10011",700 Sq Ft,"$6,150",,,Dogs and Cats Allowed,,,,,,,* Washer/Dryer,,12 Months,,,,,"['https://images1.apartments.com/i2/4puWrZEGKnU7IYjzadxmvqtWE7-kmPlDzAU92lYKXBI/111/101-w-16th-st-unit-326-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/Ez5TVV2UUfxjxlexkmCrFs7LPDMIRAXRMyaL_QF6dV8/117/101-w-16th-st-unit-326-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/gfdi8TnRLk78reEwrpbAKJG2jvF_NonN9CTHK6cdozY/117/101-w-16th-st-unit-326-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/oa7AWPkzbvVIiYGLrsNlpB6hYCOMZpnOQus5jUUnyUg/117/101-w-16th-st-unit-326-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/DI5ZbcnxY7q5VQeVPzpNpqr4g1UENCTHpDq0Urz0ogU/117/101-w-16th-st-unit-326-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/A-u5vKxXFlLqj4ED1S1qQol8DaPtoE54RGcFL7PjdX4/117/101-w-16th-st-unit-326-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/qZZ3jFgWsKoaabf--yhsAA5zqPhhcy6KB0TWaNyrWwY/117/101-w-16th-st-unit-326-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/G_ZfNzA-hUCRInqs-NE9u2Hx-sLhFTEWJ9-IAnqT6WI/117/101-w-16th-st-unit-326-new-york-ny-building-photo.jpg']",
208 W 138th St,929-515-8606,"208 W 138th St, New York, NY 10030",,"$11,000",,,Dogs and Cats Allowed,,,,* Pool,"* Dishwasher
* Stainless Steel Appliances
* Kitchen",,"* Washer/Dryer
* Fireplace","* Hardwood Floors
* Dining Room
* Office
* Recreation Room
* Wet Bar",12 Months,,,,* Balcony,"['https://images1.apartments.com/i2/4fPg0VwiKJCSWnqDa18thIisGiO6aQc2K1CD9eKNTjQ/111/208-w-138th-st-new-york-ny-primary-photo.jpg', 'https://images1.apartments.com/i2/5uUPRcml69vLx9yh8LKaMrRE9niiErsn35rTWR5yVCc/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Spovh6yNBFKxmnY4X5dxC4RqExmOHpnM0wBIgeau3SU/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/LvP9uaPs_YgnSMciUDG_5NoHkWumdUmfrIuMe1kyHYQ/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/sHEZ-w8TQPrdYkO4W7kmXzY_kBOkueCAxZqnrE-dfwQ/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/H6T6fNSMbBg4vRQkSyijxPOK9eH0yfvcI-KDo4TwfPg/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/gQ5DXy8HJYC-ok-myng4dy9cM6KOgNwQh53g0QoJ4P8/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/naYRzmscQtovg26yxPje6i4ESmJpVbVW5AQ57JJcxV8/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/cQBuKrIjX7C1RFcqBIvnVRsDsQIglu838uXrpddKdKA/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/qPgVgH4pfWgeRQcLhRTFyEEwdAI4P7epgQgS0RddfkA/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/Jvg6EvS-3TZMdgykBGC2wXDd8V2oTjzJ4bRTJ2tBE_0/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/SxQu-hawNydBSNhGRzwOG4vWzeeJZaLGAAZZxolH2ec/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/WKRrpTWKtRbQTUyXEnPHfacU1YrxB5xLHRz2O8G-g7U/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/wi6VFJvs7RvkAGWDmbotDO29_k6-CcoGH7FlrD06AJQ/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/h3YRdxFAWqxwOLVRb_3rao7VYEqBfwnyNSUMSqrIWmw/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/68vWlmRH1Qdk2y2pa-NFqvprwqRJe8l4V46MoMZoSNw/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/6GHsWnSIP4tEwXX0xMHl0ABHmcfWfpyRCSNPVZWvUfA/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/uoSjmk66yR4XtrO2cC1VCm-_MTHvLTyQME5b4QCLkqk/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/gmcXk6ItG7Di13Nkvo6kO1NH76BiKQ9ekXmL2CGKkWU/117/208-w-138th-st-new-york-ny-building-photo.jpg', 'https://images1.apartments.com/i2/DeHOoLyEJy4BW4FhmRg_T9IWbXdu1AgAzTAR7SKX8oY/117/208-w-138th-st-new-york-ny-building-photo.jpg']",
