Option Name,Address
[183 Mulberry St Unit 9](https://www.apartments.com/183-mulberry-st-new-york-ny-unit-9/j7k9y14/),"[183 Mulberry St, New York, NY 10012](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/183+Mulberry+St,+New+York,+NY+10012/data=!4m2!4m1!3e2)"
[222 E 81st St Unit 5](https://www.apartments.com/222-e-81st-st-new-york-city-ny-unit-5/n30vw7q/),"[222 E 81st St, New York, NY 10028](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/222+E+81st+St,+New+York,+NY+10028/data=!4m2!4m1!3e2)"
[300 North End Ave Unit 4A](https://www.apartments.com/300-north-end-ave-new-york-ny-unit-4a/8tzyw31/),"[300 North End Ave, New York, NY 10282](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/300+North+End+Ave,+New+York,+NY+10282/data=!4m2!4m1!3e2)"
[99 Battery Pl Unit 8N](https://www.apartments.com/99-battery-pl-new-york-city-ny-unit-8n/wcsbxmj/),"[99 Battery Pl, New York, NY 10280](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/99+Battery+Pl,+New+York,+NY+10280/data=!4m2!4m1!3e2)"
[99 Battery Pl Unit 17B](https://www.apartments.com/99-battery-pl-new-york-city-ny-unit-17b/2m6mbmc/),"[99 Battery Pl, New York, NY 10280](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/99+Battery+Pl,+New+York,+NY+10280/data=!4m2!4m1!3e2)"
[619 W 140th St Unit 4D](https://www.apartments.com/619-w-140th-st-new-york-ny-unit-4d/zwhg3pw/),"[619 W 140th St, New York, NY 10031](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/619+W+140th+St,+New+York,+NY+10031/data=!4m2!4m1!3e2)"
[80 N Moore St Unit 807K](https://www.apartments.com/80-n-moore-st-new-york-ny-unit-807k/l2drw0f/),"[80 N Moore St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/80+N+Moore+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[206 W 104th St Unit 1](https://www.apartments.com/206-w-104th-st-new-york-ny-unit-1/zv6seqy/),"[206 W 104th St, New York, NY 10025](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/206+W+104th+St,+New+York,+NY+10025/data=!4m2!4m1!3e2)"
[505 W 161st St Unit 1](https://www.apartments.com/505-w-161st-st-new-york-city-ny-unit-1/ee8jb3n/),"[505 W 161st St, New York, NY 10032](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/505+W+161st+St,+New+York,+NY+10032/data=!4m2!4m1!3e2)"
[518 W 204th St Unit 1](https://www.apartments.com/518-w-204th-st-new-york-ny-unit-1/ltnj7td/),"[518 W 204th St, New York, NY 10034](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/518+W+204th+St,+New+York,+NY+10034/data=!4m2!4m1!3e2)"
[188 South St Unit 2](https://www.apartments.com/188-south-st-new-york-ny-unit-2/ts3wprb/),"[188 South St, New York, NY 10038](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/188+South+St,+New+York,+NY+10038/data=!4m2!4m1!3e2)"
[1381 Riverside Dr](https://www.apartments.com/1381-riverside-dr-new-york-ny/f2scl0s/),"[1381 Riverside Dr, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1381+Riverside+Dr,+New+York,+NY+10033/data=!4m2!4m1!3e2)"
[1381 Riverside Dr](https://www.apartments.com/1381-riverside-dr-new-york-ny/1m5l616/),"[1381 Riverside Dr, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1381+Riverside+Dr,+New+York,+NY+10033/data=!4m2!4m1!3e2)"
[1381 Riverside Dr Unit 7B](https://www.apartments.com/1381-riverside-dr-new-york-ny-unit-7b/7e5ywpx/),"[1381 Riverside Dr, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1381+Riverside+Dr,+New+York,+NY+10033/data=!4m2!4m1!3e2)"
[244 W 63rd St Unit 5c](https://www.apartments.com/244-w-63rd-st-new-york-ny-unit-5c/sy3nht5/),"[244 W 63rd St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/244+W+63rd+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[340 E 13th St Unit 6](https://www.apartments.com/340-e-13th-st-new-york-ny-unit-6/cjsv9ed/),"[340 E 13th St, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/340+E+13th+St,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[210 W 11th St Unit 5D](https://www.apartments.com/210-w-11th-st-new-york-ny-unit-5d/l1n679g/),"[210 W 11th St, New York, NY 10014](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/210+W+11th+St,+New+York,+NY+10014/data=!4m2!4m1!3e2)"
[155 Attorney St Unit 5A](https://www.apartments.com/155-attorney-st-new-york-ny-unit-5a/rplcrv2/),"[155 Attorney St, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/155+Attorney+St,+New+York,+NY+10002/data=!4m2!4m1!3e2)"
[939 5th Ave Unit 20D](https://www.apartments.com/939-5th-ave-new-york-ny-unit-20d/x9q4p5q/),"[939 5th Ave, New York, NY 10021](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/939+5th+Ave,+New+York,+NY+10021/data=!4m2!4m1!3e2)"
[939 5th Ave Unit 4D](https://www.apartments.com/939-5th-ave-new-york-ny-unit-4d/cqek0ve/),"[939 5th Ave, New York, NY 10021](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/939+5th+Ave,+New+York,+NY+10021/data=!4m2!4m1!3e2)"
[57 Pitt St Unit 5f](https://www.apartments.com/57-pitt-st-new-york-ny-unit-5f/ty4n18b/),"[57 Pitt St, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/57+Pitt+St,+New+York,+NY+10002/data=!4m2!4m1!3e2)"
[15 W 53rd St Unit 48](https://www.apartments.com/15-w-53rd-st-new-york-ny-unit-48/jd3tzq6/),"[15 W 53rd St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/15+W+53rd+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[600 E 9th St Unit 8](https://www.apartments.com/600-e-9th-st-new-york-ny-unit-8/v70z44e/),"[600 E 9th St, New York, NY 10009](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/600+E+9th+St,+New+York,+NY+10009/data=!4m2!4m1!3e2)"
[39 W 68th St Unit 2](https://www.apartments.com/39-w-68th-st-new-york-ny-unit-2/yx0rl6t/),"[39 W 68th St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/39+W+68th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[1660 Madison Ave Unit 10](https://www.apartments.com/1660-madison-ave-new-york-ny-unit-10/gl41x2y/),"[1660 Madison Ave, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1660+Madison+Ave,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[32 St Marks Pl Unit 18](https://www.apartments.com/32-st-marks-pl-new-york-ny-unit-18/kxc8mkc/),"[32 St Marks Pl, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/32+St+Marks+Pl,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[117 W 58th St Unit 7D](https://www.apartments.com/117-w-58th-st-new-york-ny-unit-7d/l0kjkjf/),"[117 W 58th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/117+W+58th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[860 7th Ave Unit 11F](https://www.apartments.com/860-7th-ave-new-york-ny-unit-11f/2q5nsfb/),"[860 7th Ave, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/860+7th+Ave,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[1295 5th Ave Unit 29](https://www.apartments.com/1295-5th-ave-new-york-ny-unit-29/862clm2/),"[1295 5th Ave, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1295+5th+Ave,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[139 Mulberry St Unit 3](https://www.apartments.com/139-mulberry-st-new-york-ny-unit-3/hvmztj1/),"[139 Mulberry St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/139+Mulberry+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[194 Bleecker St Unit 5a](https://www.apartments.com/194-bleecker-st-new-york-ny-unit-5a/wgxem4l/),"[194 Bleecker St, New York, NY 10012](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/194+Bleecker+St,+New+York,+NY+10012/data=!4m2!4m1!3e2)"
[34 E Broadway Unit 8](https://www.apartments.com/34-e-broadway-new-york-ny-unit-8/f1ng3xr/),"[34 E Broadway, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/34+E+Broadway,+New+York,+NY+10002/data=!4m2!4m1!3e2)"
[1966 1st Avenue Unit 1](https://www.apartments.com/1966-1st-avenue-new-york-ny-unit-1/xx84x4m/),"[1966 1st Avenue, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1966+1st+Avenue,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[207 E Broadway Unit 3](https://www.apartments.com/207-e-broadway-new-york-ny-unit-3/x1d10em/),"[207 E Broadway, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/207+E+Broadway,+New+York,+NY+10002/data=!4m2!4m1!3e2)"
[317 W 107th St Unit PHA](https://www.apartments.com/317-w-107th-st-new-york-ny-unit-pha/6xk9z0v/),"[317 W 107th St, New York, NY 10025](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/317+W+107th+St,+New+York,+NY+10025/data=!4m2!4m1!3e2)"
[722 Columbus Ave Unit 5JR](https://www.apartments.com/722-columbus-ave-new-york-ny-unit-5jr/782fnwy/),"[722 Columbus Ave, New York, NY 10025](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/722+Columbus+Ave,+New+York,+NY+10025/data=!4m2!4m1!3e2)"
[58 Cooper St Unit 6c](https://www.apartments.com/58-cooper-st-new-york-ny-unit-6c/qcqzf3y/),"[58 Cooper St, New York, NY 10034](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/58+Cooper+St,+New+York,+NY+10034/data=!4m2!4m1!3e2)"
[95 Elizabeth St Unit 23](https://www.apartments.com/95-elizabeth-st-new-york-ny-unit-23/z1cm9my/),"[95 Elizabeth St, New York, NY 10013](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/95+Elizabeth+St,+New+York,+NY+10013/data=!4m2!4m1!3e2)"
[188 Pinehurst Ave Unit 4D](https://www.apartments.com/188-pinehurst-ave-new-york-ny-unit-4d/6nqn66t/),"[188 Pinehurst Ave, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/188+Pinehurst+Ave,+New+York,+NY+10033/data=!4m2!4m1!3e2)"
[188 Pinehurst Ave Unit 3D](https://www.apartments.com/188-pinehurst-ave-new-york-ny-unit-3d/mwj7qlk/),"[188 Pinehurst Ave, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/188+Pinehurst+Ave,+New+York,+NY+10033/data=!4m2!4m1!3e2)"
[188 Pinehurst Ave Unit 3C](https://www.apartments.com/188-pinehurst-ave-new-york-ny-unit-3c/j25tzr6/),"[188 Pinehurst Ave, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/188+Pinehurst+Ave,+New+York,+NY+10033/data=!4m2!4m1!3e2)"
[400 5th Ave Unit 31](https://www.apartments.com/400-5th-ave-new-york-ny-unit-31/2q4l8gc/),"[400 5th Ave, New York, NY 10018](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/400+5th+Ave,+New+York,+NY+10018/data=!4m2!4m1!3e2)"
[315 W 74th St Unit 1A](https://www.apartments.com/315-w-74th-st-new-york-ny-unit-1a/48g9lch/),"[315 W 74th St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/315+W+74th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[1660 Madison Ave Unit 1](https://www.apartments.com/1660-madison-ave-new-york-ny-unit-1/n66shvm/),"[1660 Madison Ave, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1660+Madison+Ave,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[38 Market St Unit 1](https://www.apartments.com/38-market-st-new-york-ny-unit-1/0fnyj61/),"[38 Market St, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/38+Market+St,+New+York,+NY+10002/data=!4m2!4m1!3e2)"
[314 E 35th St Unit 25](https://www.apartments.com/314-e-35th-st-new-york-ny-unit-25/w8zmsyk/),"[314 E 35th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/314+E+35th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[34 Beekman Pl Unit PH-A](https://www.apartments.com/34-beekman-pl-new-york-ny-unit-ph-a/2wpez2b/),"[34 Beekman Pl, New York, NY 10022](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/34+Beekman+Pl,+New+York,+NY+10022/data=!4m2!4m1!3e2)"
[28 W 47th St Unit 4R](https://www.apartments.com/28-w-47th-st-new-york-ny-unit-4r/pnw743r/),"[28 W 47th St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/28+W+47th+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[28 W 47th St Unit 5R](https://www.apartments.com/28-w-47th-st-new-york-ny-unit-5r/t6jc7f9/),"[28 W 47th St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/28+W+47th+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[156 Allen St Unit 6](https://www.apartments.com/156-allen-st-new-york-ny-unit-6/19pzdx6/),"[156 Allen St, New York, NY 10002](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/156+Allen+St,+New+York,+NY+10002/data=!4m2!4m1!3e2)"
[20 Magaw Pl Unit 6](https://www.apartments.com/20-magaw-pl-new-york-ny-unit-6/c3znybg/),"[20 Magaw Pl, New York, NY 10033](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/20+Magaw+Pl,+New+York,+NY+10033/data=!4m2!4m1!3e2)"
[250 Fort Washington Ave Unit 6B](https://www.apartments.com/250-fort-washington-ave-new-york-ny-unit-6b/l6p9q4e/),"[250 Fort Washington Ave, New York, NY 10032](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/250+Fort+Washington+Ave,+New+York,+NY+10032/data=!4m2!4m1!3e2)"
[690 Fort Washington Ave Unit 5J](https://www.apartments.com/690-fort-washington-ave-new-york-ny-unit-5j/7gp8fyz/),"[690 Fort Washington Ave, New York, NY 10040](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/690+Fort+Washington+Ave,+New+York,+NY+10040/data=!4m2!4m1!3e2)"
[666 St Nicholas Ave Unit 4](https://www.apartments.com/666-st-nicholas-ave-new-york-ny-unit-4/45nsgsh/),"[666 St Nicholas Ave, New York, NY 10030](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/666+St+Nicholas+Ave,+New+York,+NY+10030/data=!4m2!4m1!3e2)"
[317 W 99th St Unit 3C](https://www.apartments.com/317-w-99th-st-new-york-ny-unit-3c/wb2ck1h/),"[317 W 99th St, New York, NY 10025](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/317+W+99th+St,+New+York,+NY+10025/data=!4m2!4m1!3e2)"
[161 W 72nd St Unit 7D](https://www.apartments.com/161-w-72nd-st-new-york-ny-unit-7d/9hp9q24/),"[161 W 72nd St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/161+W+72nd+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[161 W 95th St Unit 1F](https://www.apartments.com/161-w-95th-st-new-york-ny-unit-1f/l9kq6pd/),"[161 W 95th St, New York, NY 10025](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/161+W+95th+St,+New+York,+NY+10025/data=!4m2!4m1!3e2)"
[780 6th Ave Unit 30C](https://www.apartments.com/780-6th-ave-new-york-ny-unit-30c/7534cdx/),"[780 6th Ave, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/780+6th+Ave,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[300 E 3rd St Unit 1A](https://www.apartments.com/300-e-3rd-st-new-york-ny-unit-1a/hheq5l3/),"[300 E 3rd St, New York, NY 10009](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/300+E+3rd+St,+New+York,+NY+10009/data=!4m2!4m1!3e2)"
[190 E 2nd St Unit 2A](https://www.apartments.com/190-e-2nd-st-new-york-ny-unit-2a/q7spq9z/),"[190 E 2nd St, New York, NY 10009](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/190+E+2nd+St,+New+York,+NY+10009/data=!4m2!4m1!3e2)"
[171 Manhattan Ave Unit 2F](https://www.apartments.com/171-manhattan-ave-new-york-ny-unit-2f/bcyxqvb/),"[171 Manhattan Ave, New York, NY 10025](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/171+Manhattan+Ave,+New+York,+NY+10025/data=!4m2!4m1!3e2)"
[445 W 35th St Unit B4](https://www.apartments.com/445-w-35th-st-new-york-ny-unit-b4/gyqy65y/),"[445 W 35th St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/445+W+35th+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
[800 5th Ave Unit 23 E](https://www.apartments.com/800-5th-ave-new-york-ny-unit-23-e/9dgf177/),"[800 5th Ave, New York, NY 10065](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/800+5th+Ave,+New+York,+NY+10065/data=!4m2!4m1!3e2)"
[322 Starr St Unit 1](https://www.apartments.com/322-starr-st-new-york-ny-unit-1/vy0z41e/),"[322 Starr St, New York, NY 11237](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/322+Starr+St,+New+York,+NY+11237/data=!4m2!4m1!3e2)"
[14 Park Row Unit 6D](https://www.apartments.com/14-park-row-new-york-ny-unit-6d/fnh2gcv/),"[14 Park Row, New York, NY 10038](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/14+Park+Row,+New+York,+NY+10038/data=!4m2!4m1!3e2)"
[1297 5th Ave Unit 23](https://www.apartments.com/1297-5th-ave-new-york-ny-unit-23/hjjv433/),"[1297 5th Ave, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1297+5th+Ave,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[165 E 87th St Unit 3RW](https://www.apartments.com/165-e-87th-st-new-york-ny-unit-3rw/h30jrc0/),"[165 E 87th St, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/165+E+87th+St,+New+York,+NY+10128/data=!4m2!4m1!3e2)"
[97 Hamilton Pl Unit 01S](https://www.apartments.com/97-hamilton-pl-new-york-ny-unit-01s/kte0vb8/),"[97 Hamilton Pl, New York, NY 10031](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/97+Hamilton+Pl,+New+York,+NY+10031/data=!4m2!4m1!3e2)"
[451 E 116th St Unit 6](https://www.apartments.com/451-e-116th-st-new-york-ny-unit-6/bj6wf59/),"[451 E 116th St, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/451+E+116th+St,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[401 E 115th St Unit 2N](https://www.apartments.com/401-e-115th-st-new-york-ny-unit-2n/hyn92q3/),"[401 E 115th St, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/401+E+115th+St,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[152 E 100th St Unit 2](https://www.apartments.com/152-e-100th-st-new-york-ny-unit-2/blm6c19/),"[152 E 100th St, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/152+E+100th+St,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[352 W 152nd St Unit 2](https://www.apartments.com/352-w-152nd-st-new-york-ny-unit-2/qqxddny/),"[352 W 152nd St, New York, NY 10039](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/352+W+152nd+St,+New+York,+NY+10039/data=!4m2!4m1!3e2)"
[468 W 153rd St Unit CS3](https://www.apartments.com/468-w-153rd-st-new-york-ny-unit-cs3/gm4snzz/),"[468 W 153rd St, New York, NY 10031](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/468+W+153rd+St,+New+York,+NY+10031/data=!4m2!4m1!3e2)"
[1270 Amsterdam Ave Unit CH1](https://www.apartments.com/1270-amsterdam-ave-new-york-ny-unit-ch1/ypp7clv/),"[1270 Amsterdam Ave, New York, NY 10027](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1270+Amsterdam+Ave,+New+York,+NY+10027/data=!4m2!4m1!3e2)"
[312 W 73rd St Unit 2B](https://www.apartments.com/312-w-73rd-st-new-york-ny-unit-2b/btj4hqc/),"[312 W 73rd St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/312+W+73rd+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[35 Central Park N Unit 5G](https://www.apartments.com/35-central-park-n-new-york-ny-unit-5g/whexkbk/),"[35 Central Park N, New York, NY 10026](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/35+Central+Park+N,+New+York,+NY+10026/data=!4m2!4m1!3e2)"
[1309 5th Ave Unit 25A](https://www.apartments.com/1309-5th-ave-new-york-ny-unit-25a/0m4dnj1/),"[1309 5th Ave, New York, NY 10029](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/1309+5th+Ave,+New+York,+NY+10029/data=!4m2!4m1!3e2)"
[35 Central Park N Unit 1D](https://www.apartments.com/35-central-park-n-new-york-ny-unit-1d/6d4b5ls/),"[35 Central Park N, New York, NY 10026](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/35+Central+Park+N,+New+York,+NY+10026/data=!4m2!4m1!3e2)"
[11 E 80th St Unit 4R](https://www.apartments.com/11-e-80th-st-new-york-ny-unit-4r/l8yeghf/),"[11 E 80th St, New York, NY 10075](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/11+E+80th+St,+New+York,+NY+10075/data=!4m2!4m1!3e2)"
[146 4th Ave Unit 14m](https://www.apartments.com/146-4th-ave-new-york-ny-unit-14m/5dlfpgn/),"[146 4th Ave, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/146+4th+Ave,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[147 E 16th St Unit 16a](https://www.apartments.com/147-e-16th-st-new-york-ny-unit-16a/vqym8cd/),"[147 E 16th St, New York, NY 10003](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/147+E+16th+St,+New+York,+NY+10003/data=!4m2!4m1!3e2)"
[439 W 53rd St Unit 5A](https://www.apartments.com/439-w-53rd-st-new-york-ny-unit-5a/yvtsm1s/),"[439 W 53rd St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/439+W+53rd+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[208 E 37th St Unit 4K](https://www.apartments.com/208-e-37th-st-new-york-ny-unit-4k/lwcer5f/),"[208 E 37th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/208+E+37th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[233 W 48th St Unit 23c](https://www.apartments.com/233-w-48th-st-new-york-ny-unit-23c/qfw64zw/),"[233 W 48th St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/233+W+48th+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[146 E 72nd St Unit 3d](https://www.apartments.com/146-e-72nd-st-new-york-ny-unit-3d/szg4c36/),"[146 E 72nd St, New York, NY 10021](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/146+E+72nd+St,+New+York,+NY+10021/data=!4m2!4m1!3e2)"
[78 E 32nd St Unit 5h](https://www.apartments.com/78-e-32nd-st-new-york-ny-unit-5h/j656wg7/),"[78 E 32nd St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/78+E+32nd+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[35 W 65th St Unit 1a](https://www.apartments.com/35-w-65th-st-new-york-ny-unit-1a/jty04s7/),"[35 W 65th St, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/35+W+65th+St,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[141 E 46th St Unit 7F](https://www.apartments.com/141-e-46th-st-new-york-ny-unit-7f/588p24m/),"[141 E 46th St, New York, NY 10017](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/141+E+46th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)"
[227 Mulberry St Unit 5D](https://www.apartments.com/227-mulberry-st-new-york-ny-unit-5d/jdfst67/),"[227 Mulberry St, New York, NY 10012](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/227+Mulberry+St,+New+York,+NY+10012/data=!4m2!4m1!3e2)"
[141 E 46th St Unit 6g](https://www.apartments.com/141-e-46th-st-new-york-ny-unit-6g/d3qlb4j/),"[141 E 46th St, New York, NY 10017](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/141+E+46th+St,+New+York,+NY+10017/data=!4m2!4m1!3e2)"
[51 Leroy St Unit 3A](https://www.apartments.com/51-leroy-st-new-york-ny-unit-3a/r2y75y1/),"[51 Leroy St, New York, NY 10014](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/51+Leroy+St,+New+York,+NY+10014/data=!4m2!4m1!3e2)"
[55 E 95th St Unit 5r](https://www.apartments.com/55-e-95th-st-new-york-ny-unit-5r/slhjlw7/),"[55 E 95th St, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/55+E+95th+St,+New+York,+NY+10128/data=!4m2!4m1!3e2)"
[445 W 19th St Unit 2a](https://www.apartments.com/445-w-19th-st-new-york-ny-unit-2a/st84ec7/),"[445 W 19th St, New York, NY 10011](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/445+W+19th+St,+New+York,+NY+10011/data=!4m2!4m1!3e2)"
